 121821.99	0.00	SOA
 121966.03	1.28	whp foc
 121970.11	1.44	whp foc
 121974.45	1.40	whp foc
 121979.28	1.38	whp foc
 121983.97	1.51	whp foc
 121988.86	1.54	whp foc
 121993.67	1.55	whp foc
 121998.64	1.53	whp foc
 122039.09	1.55	grn foc
 122096.21	1.33	grn foc
 122103.00	0.83	grn foc
 122121.10	1.63	grn foc
 122125.00	0.78	oth foc
 122127.13	0.62	whp foc
 122130.01	1.19	whp foc
 122133.96	1.32	whp foc
 122138.11	1.41	whp foc
 122142.68	1.45	whp foc
 122147.91	1.41	whp foc
 122152.29	1.40	whp foc
 122157.40	1.49	whp foc
 122161.51	1.38	whp foc
 122165.75	1.42	whp foc
 122170.21	1.45	whp foc
 122174.53	1.44	whp foc
 122191.64	1.25	grn foc
 122228.44	1.29	grn foc
 122231.23	1.23	grn foc
 122259.77	1.34	grn foc
 122262.89	0.89	grn foc
 122360.41	1.12	grn foc
 122365.59	0.97	grn foc
 122368.58	0.62	whp foc
 122371.04	0.71	whp foc
 122374.35	1.20	whp foc
 122378.22	1.35	whp foc
 122382.17	1.36	whp foc
 122386.37	1.45	whp foc
 122391.18	1.41	whp foc
 122395.81	1.43	whp foc
 122400.21	1.45	whp foc
 122404.62	1.45	whp foc
 122408.66	1.47	whp foc
 122413.54	1.55	whp foc
 122417.70	1.51	whp foc
 122424.57	1.18	grn foc
 122441.63	1.42	grn foc
 122444.29	1.34	grn foc
 122447.22	1.10	grn foc
 122466.49	1.26	grn foc
 122471.71	1.20	grn foc
 122523.66	1.58	grn foc
 122526.42	1.01	whp foc
 122529.99	1.19	whp foc
 122534.00	1.35	whp foc
 122540.26	1.44	whp foc
 122544.81	1.48	whp foc
 122551.40	1.48	whp foc
 122555.78	1.53	whp foc
 122560.16	1.62	whp foc
 122566.32	1.57	whp foc
 122584.02	0.95	grn foc
 122586.57	1.55	grn foc
 122589.89	1.23	grn foc
 122599.24	0.77	oth non
 122605.10	2.74	oth unf
 122606.18	0.90	grn non
 122608.02	0.48	grn non
 122608.67	1.45	oth unf
 122610.24	0.62	grn non
 122610.85	1.24	oth unf
 122612.24	1.25	grn non
 122613.13	2.73	oth unf
 122614.43	1.05	grn non
 122617.37	3.61	str ? cub non
 122618.92	1.92	grn non
 122622.70	0.37	oth unf
 122626.11	0.24	oth unf
 122633.42	0.26	oth unf
 122634.14	1.93	grn non
 122635.42	1.03	oth non
 122639.85	0.20	oth non
 122646.46	2.03	grn non
 122647.30	1.31	str cub non
 122655.14	1.52	grn non
 122656.09	5.03	str cub non
 122657.82	1.49	grn non
 122660.54	1.00	grn non
 122662.19	0.94	grn foc
 122663.21	0.63	grn non
 122668.63	1.94	grn foc
 122671.38	1.06	grn non
 122672.29	2.02	grn foc
 122674.31	1.01	grn non
 122684.45	1.12	grn foc
 122686.51	1.31	gig foc
 122703.04	1.23	grn non
 122703.51	0.52	grn foc
 122705.21	1.21	grn foc
 122709.30	1.59	whp non
 122709.34	1.18	grn foc
 122712.09	0.36	oth foc
 122712.67	1.63	whp non
 122716.04	1.44	whp non
 122719.35	1.45	whp non
 122719.59	1.35	grn foc
 122722.81	1.62	whp non
 122726.45	1.57	whp non
 122730.60	1.82	whp non
 122734.86	1.30	whp non
 122764.12	0.53	grn non
 122765.50	1.12	grn foc
 122768.10	0.65	grn non
 122769.92	0.45	grn non
 122771.07	1.38	grn foc
 122771.96	0.57	grn non
 122773.62	2.40	grn non
 122773.70	0.66	grn foc
 122778.27	2.03	grn foc
 122781.30	1.07	grn non
 122782.36	1.42	grn foc
 122785.39	0.62	grn non
 122791.06	1.26	grn non
 122793.21	1.14	sql cub non
 122794.32	0.84	whp cub non
 122794.95	2.42	grn non
 122795.62	0.45	sql cub non
 122796.07	0.63	whp cub non
 122797.36	0.87	whp cub non
 122799.06	1.64	grn foc
 122799.73	0.85	whp non
 122802.06	0.96	whp non
 122802.64	1.40	grn foc
 122804.46	1.05	whp non
 122806.75	1.21	whp non
 122806.91	1.41	grn foc
 122809.08	1.30	whp non
 122812.11	1.64	whp non
 122813.51	2.10	whp non
 122814.49	1.76	grn foc
 122815.53	1.34	whp non
 122818.96	2.40	whp non
 122819.09	2.28	whp non
 122826.17	1.36	whp non
 122826.95	0.68	grn foc
 122831.07	1.67	whp non
 122835.96	1.74	whp non
 122840.90	1.48	whp non
 122845.84	1.40	whp non
 122853.87	1.64	grn foc
 122856.58	1.85	grn foc
 122860.51	1.29	grn foc
 122864.93	1.23	grn foc
 122868.91	1.09	grn foc
 122888.41	2.00	grn foc
 122915.35	2.26	grn foc
 122922.01	0.00	EOA

